1,Antiques,Antiques,0
2,Antiquities,Antiquities,1
3,Dinnerware,Dinnerware,1
4,Statues / Statuettes,Statues / Statuettes,1
5,Vases,Vases,1
6,Other Antiques,Other Antiques,1

7,Art,Art,0
8,Drawings,Drawings,7
9,Paintings,Paintings,7
10,Prints,Prints,7
11,Sculptures / Carvings,Sculptures / Carvings,7
12,Other,Other,7

13,Automotive,Automotive,0
14,Cars,Cars,13
15,Car Accessories,Car Accessories,13
16,Car Maintenance Services,Car Maintenance Services,13
17,Car Parts,Car Parts,13
18,Car Workshop Supplies,Car Workshop Supplies,13
19,Motorcycles,Motorcycles,13

20,Baby,Baby,0
21,Baby Carriers,Baby Carriers,20
22,Baby Clothing / Shoes,Baby Clothing / Shoes,20
23,Diapers,Diapers,20
24,Feeding,Feeding,20
25,Maternity Clothing,Maternity Clothing,20
26,Prams / Strollers,Prams / Strollers,20
27,Other Baby Items,Other Baby Items,20

28,Books,Books,0
29,Children's Books,Children's Books,28
30,Comics,Comics,28
31,Computer / IT  / Internet,Computer / IT  / Internet,28
32,Fiction Books,Fiction Books,28
33,Magazines,Magazines,28
34,Non-Fiction Books,Non-Fiction Books,28
35,Textbooks / Education,Textbooks / Education,28
36,Non-English Books,Non-English Books,28
37,Other Books,Other Books,28

38,Cameras & Photo,Cameras & Photo,0
39,Digital Cameras & Accessories,Digital Cameras & Accessories,38
40,Film Cameras & Accessories,Film Cameras & Accessories,38
41,Video Cameras,Video Cameras,38
42,Other Camera & Photo Items,Other Camera & Photo Items,38

43,Clothing / Shoes & Accessories,Clothing / Shoes & Accessories,0
44,Men's Clothing,Men's Clothing,43
45,Men's Accessories,Men's Accessories,43
46,Men's Shoes,Men's Shoes,43
47,Women's Clothing,Women's Clothing,43
48,Women's Accessories,Women's Accessories,43
49,Women's Shoes,Women's Shoes,43
50,Infant and Toddlers,Infant and Toddlers,43
51,Boys,Boys,43
52,Girls,Girls,43
53,Girls' Accessories,Girls' Accessories,43
54,Costumes & Reenactment Attire,Costumes & Reenactment Attire,43
55,Other,Other,43

56,Coins,Coins,0
57,Asia,Asia,56
58,Australia,Australia,56
59,Britain,Britain,56
60,Europe,Europe,56
61,US,US,56
62,Other,Other,56
63,Paper Money,Paper Money,56

64,Collectables,Collectables,0
65,Advertising,Advertising,64
66,Animation,Animation,64
67,Autographs / Celebrity Items,Autographs / Celebrity Items,64
68,Breweriana Beer,Breweriana Beer,64
69,Comics,Comics,64
70,Cultures / Ethnicities,Cultures / Ethnicities,64
71,Decorative Collectables,Decorative Collectables,64
72,Historical Memorabilia,Historical Memorabilia,64
73,Millitaria,Millitaria,64
74,Pens & Writing Instruments,Pens & Writing Instruments,64
75,Postcards & Paper,Postcards & Paper,64
76,Pottery & Glass,Pottery & Glass,64
77,Tobacciana,Tobacciana,64
78,Trading Cards,Trading Cards,64
79,Transportation,Transportation,64
80,Vanity / Perfume & Shaving,Vanity / Perfume & Shaving,64
81,Other Collectables,Other Collectables,64

82,Computers & Networking,Computers & Networking,0
83,Apple / Macintosh,Apple / Macintosh,82
84,Desktop Computers,Desktop Computers,82
85,Desktop Accessories,Desktop Accessories,82
86,Drives / Controllers & Storage,Drives / Controllers & Storage,82
87,Laptops / Notebooks,Laptops / Notebooks,82
88,Laptop Accessories,Laptop Accessories,82
89,Printers & Scanners,Printers & Scanners,82
90,Printer Supplies & Accessories,Printer Supplies & Accessories,82
91,Servers,Servers,82
92,Input Devices,Input Devices,82
93,Networking,Networking,82
94,Software,Software,82
95,Other Computers,Other Computers,82

96,Consumer Electronics,Consumer Electronics,0
97,DVD Players & Recorders,DVD Players & Recorders,96
98,Electronic Gadgets,Electronic Gadgets,96
99,Home Audio,Home Audio,96
100,MP3 Players & Accessories,MP3 Players & Accessories,96
101,PDAs,PDAs,96
102,TV / VCR,TV / VCR,96
103,Other Consumer Electronics,Other Consumer Electronics,96

104,Dolls & Bears,Dolls & Bears,0
105,Bears,Bears,104
106,Dolls,Dolls,104
107,DVD & Movies,DVD & Movies,104
108,Action & Adventure,Action & Adventure,104
109,Animation,Animation,104
110,Comedy,Comedy,104
111,Movie Drama,Movie Drama,104
112,Music & Concert,Music & Concert,104
113,Romance,Romance,104
114,TV Shows,TV Shows,104
115,Other DVDs & Movies,Other DVDs & Movies,104

116,Entertainment Memorabilia,Entertainment Memorabilia,0
117,Movie Memorabilia,Movie Memorabilia,116
118,Music Memorabilia,Music Memorabilia,116
